Date,Year,Day,Hour_Min,Sev Temp 1,Sev Temp 2,Sev Temp 3,Sev Temp 4,Sev Temp 5,Sev Temp 6,Sev PA 1,Sev PA 2,Sev PA 3,Sev PA 4,Sev PA 5,Sev PA 6,Sev Calc. VWC 1,Sev Calc. VWC 2,Sev Calc. VWC 3,Sev Calc. VWC 4,Sev Calc. VWC 5,Sev Calc. VWC 6
25-Jul-2010 02:00,2010,206,200,7.32,5.39,5.79,7.43,6.81,7.22,26.14,31.97,35.34,26.08,22.78,36.52,22.52,34.58,42.80,22.46,16.88,45.92
25-Jul-2010 02:30,2010,206,230,7.20,5.33,5.65,7.34,6.65,7.08,26.14,31.96,35.33,26.08,22.78,36.52,22.52,34.52,42.80,22.40,16.88,45.92
25-Jul-2010 03:00,2010,206,300,7.08,5.27,5.52,7.25,6.48,6.93,26.14,31.95,35.33,26.07,22.78,36.52,22.52,34.52,42.80,22.40,16.88,45.92
25-Jul-2010 03:30,2010,206,330,6.96,5.21,5.42,7.17,6.31,6.82,26.14,31.94,35.33,26.07,22.78,36.52,22.52,34.52,42.80,22.40,16.88,45.92
25-Jul-2010 04:00,2010,206,400,6.85,5.17,5.31,7.08,6.20,6.81,26.14,31.94,35.33,26.07,22.78,36.52,22.52,34.46,42.80,22.40,16.88,45.92
25-Jul-2010 04:30,2010,206,430,6.74,5.12,5.27,7.01,6.07,6.78,26.14,31.93,35.33,26.07,22.78,36.52,22.52,34.46,42.80,22.40,16.88,45.92
25-Jul-2010 05:00,2010,206,500,6.65,5.08,5.24,6.94,5.96,6.77,26.14,31.93,35.33,26.06,22.78,36.52,22.52,34.46,42.80,22.40,16.88,45.92
25-Jul-2010 05:30,2010,206,530,6.58,5.05,5.23,6.88,5.87,6.78,26.15,31.91,35.33,26.06,22.78,36.51,22.52,34.46,42.80,22.40,16.88,45.92
25-Jul-2010 06:00,2010,206,600,6.51,5.02,5.24,6.82,5.82,6.77,26.15,31.91,35.33,26.06,22.78,36.50,22.58,34.40,42.80,22.40,16.88,45.86
25-Jul-2010 06:30,2010,206,630,6.45,4.98,5.24,6.79,5.79,6.81,26.15,31.90,35.32,26.06,22.78,36.50,22.58,34.40,42.80,22.40,16.88,45.86
25-Jul-2010 07:00,2010,206,700,6.40,4.96,5.26,6.77,5.78,6.86,26.15,31.90,35.32,26.06,22.78,36.50,22.58,34.40,42.80,22.40,16.94,45.86
25-Jul-2010 07:30,2010,206,730,6.37,4.95,5.29,6.75,5.76,6.96,26.15,31.90,35.32,26.06,22.78,36.50,22.58,34.40,42.74,22.40,16.94,45.86
25-Jul-2010 08:00,2010,206,800,6.34,4.94,5.36,6.73,5.80,7.11,26.15,31.89,35.32,26.06,22.78,36.50,22.58,34.40,42.74,22.40,16.94,45.86
25-Jul-2010 08:30,2010,206,830,6.32,4.93,5.47,6.73,5.84,7.32,26.15,31.89,35.31,26.06,22.79,36.49,22.58,34.40,42.74,22.40,16.94,45.86
25-Jul-2010 09:00,2010,206,900,6.33,4.94,5.63,6.75,5.89,7.52,26.15,31.89,35.31,26.06,22.79,36.49,22.58,34.40,42.74,22.40,16.94,45.86
25-Jul-2010 09:30,2010,206,930,6.36,4.97,5.82,6.79,6.01,7.76,26.14,31.88,35.31,26.05,22.79,36.48,22.52,34.34,42.74,22.40,16.94,45.86
25-Jul-2010 10:00,2010,206,1000,6.39,5.00,6.00,6.83,6.14,7.98,26.14,31.88,35.30,26.05,22.79,36.48,22.52,34.34,42.74,22.40,16.94,45.80
25-Jul-2010 10:30,2010,206,1030,6.44,5.05,6.22,6.90,6.30,8.42,26.13,31.87,35.29,26.05,22.78,36.47,22.52,34.34,42.68,22.40,16.94,45.80
25-Jul-2010 11:00,2010,206,1100,6.48,5.11,6.50,6.98,6.50,8.88,26.13,31.86,35.28,26.05,22.78,36.45,22.52,34.34,42.68,22.34,16.88,45.74
25-Jul-2010 11:30,2010,206,1130,6.58,5.20,6.84,7.10,6.75,9.37,26.12,31.85,35.27,26.04,22.78,36.44,22.52,34.28,42.62,22.34,16.88,45.68
25-Jul-2010 12:00,2010,206,1200,6.75,5.30,7.16,7.29,7.02,9.81,26.10,31.83,35.26,26.04,22.77,36.42,22.46,34.28,42.62,22.34,16.88,45.68
25-Jul-2010 12:30,2010,206,1230,6.96,5.40,7.43,7.52,7.32,9.99,26.09,31.82,35.25,26.03,22.76,36.39,22.46,34.22,42.56,22.34,16.88,45.62
25-Jul-2010 13:00,2010,206,1300,7.17,5.53,7.58,7.74,7.57,10.02,26.07,31.79,35.24,26.02,22.75,36.38,22.40,34.16,42.56,22.34,16.88,45.56
25-Jul-2010 13:30,2010,206,1330,7.32,5.64,7.62,7.92,7.81,10.03,26.05,31.76,35.23,26.02,22.74,36.36,22.40,34.10,42.50,22.34,16.82,45.50
25-Jul-2010 14:00,2010,206,1400,7.50,5.78,7.67,8.12,8.03,10.25,26.04,31.74,35.22,26.01,22.73,36.34,22.34,34.04,42.50,22.28,16.82,45.44
25-Jul-2010 14:30,2010,206,1430,7.74,5.90,7.76,8.37,8.25,10.31,26.02,31.71,35.20,26.00,22.72,36.28,22.34,33.98,42.44,22.28,16.82,45.32
25-Jul-2010 15:00,2010,206,1500,7.92,6.02,7.79,8.55,8.43,10.23,26.00,31.68,35.19,25.99,22.71,36.22,22.28,33.92,42.44,22.28,16.82,45.14
25-Jul-2010 15:30,2010,206,1530,8.15,6.13,7.81,8.70,8.61,10.12,25.98,31.65,35.18,25.98,22.70,36.20,22.22,33.86,42.38,22.28,16.76,45.08
25-Jul-2010 16:00,2010,206,1600,8.27,6.23,7.79,8.77,8.71,9.93,25.96,31.62,35.17,25.98,22.69,36.18,22.22,33.80,42.38,22.22,16.76,45.02
25-Jul-2010 16:30,2010,206,1630,8.39,6.31,7.82,8.83,8.81,9.86,25.94,31.60,35.16,25.97,22.68,36.16,22.16,33.68,42.32,22.22,16.76,44.96
25-Jul-2010 17:00,2010,206,1700,8.54,6.38,7.91,8.90,8.89,9.80,25.92,31.57,35.14,25.96,22.67,36.14,22.16,33.62,42.32,22.22,16.76,44.90
25-Jul-2010 17:30,2010,206,1730,8.69,6.44,7.98,8.94,8.92,9.79,25.90,31.54,35.13,25.95,22.66,36.13,22.10,33.56,42.26,22.22,16.70,44.90
25-Jul-2010 18:00,2010,206,1800,8.77,6.46,7.96,8.99,8.92,9.61,25.89,31.51,35.12,25.94,22.64,36.11,22.10,33.50,42.26,22.16,16.70,44.84
25-Jul-2010 18:30,2010,206,1830,8.83,6.50,7.88,9.00,8.90,9.45,25.87,31.48,35.11,25.93,22.63,36.09,22.04,33.44,42.26,22.16,16.70,44.78
25-Jul-2010 19:00,2010,206,1900,8.85,6.51,7.78,8.96,8.86,9.34,25.85,31.46,35.11,25.92,22.62,36.03,22.04,33.38,42.20,22.16,16.64,44.66
25-Jul-2010 19:30,2010,206,1930,8.85,6.52,7.67,8.89,8.81,9.24,25.84,31.43,35.10,25.91,22.62,35.96,21.98,33.32,42.20,22.16,16.64,44.42
25-Jul-2010 20:00,2010,206,2000,8.81,6.51,7.56,8.80,8.75,9.12,25.83,31.41,35.09,25.91,22.61,35.94,21.98,33.26,42.20,22.10,16.64,44.36
25-Jul-2010 20:30,2010,206,2030,8.75,6.47,7.45,8.71,8.65,9.00,25.82,31.39,35.08,25.90,22.60,35.92,21.98,33.26,42.14,22.10,16.64,44.36
25-Jul-2010 21:00,2010,206,2100,8.68,6.43,7.33,8.62,8.54,8.86,25.81,31.37,35.08,25.89,22.60,35.91,21.92,33.20,42.14,22.10,16.64,44.30
25-Jul-2010 21:30,2010,206,2130,8.58,6.38,7.18,8.53,8.43,8.70,25.80,31.36,35.07,25.88,22.59,35.91,21.92,33.14,42.14,22.10,16.64,44.30
25-Jul-2010 22:00,2010,206,2200,8.48,6.34,7.03,8.42,8.33,8.53,25.80,31.34,35.06,25.88,22.59,35.90,21.92,33.14,42.08,22.04,16.64,44.30
25-Jul-2010 22:30,2010,206,2230,8.38,6.28,6.86,8.31,8.23,8.35,25.80,31.33,35.06,25.87,22.58,35.90,21.92,33.08,42.08,22.04,16.58,44.30
25-Jul-2010 23:00,2010,206,2300,8.25,6.21,6.66,8.19,8.10,8.12,25.79,31.31,35.06,25.86,22.58,35.89,21.92,33.08,42.08,22.04,16.58,44.24
25-Jul-2010 23:30,2010,206,2330,8.10,6.14,6.46,8.08,7.95,7.88,25.79,31.30,35.05,25.86,22.58,35.89,21.92,33.02,42.08,22.04,16.58,44.24
26-Jul-2010 00:00,2010,206,2400,7.96,6.06,6.26,7.97,7.75,7.66,25.79,31.29,35.05,25.86,22.58,35.89,21.92,33.02,42.08,22.04,16.58,44.24
26-Jul-2010 00:30,2010,207,30,7.80,5.98,6.05,7.85,7.53,7.44,25.79,31.28,35.05,25.85,22.58,35.89,21.92,32.96,42.08,22.04,16.58,44.24
26-Jul-2010 01:00,2010,207,100,7.64,5.90,5.89,7.74,7.30,7.34,25.79,31.27,35.05,25.85,22.58,35.89,21.92,32.96,42.08,21.98,16.58,44.24
26-Jul-2010 01:30,2010,207,130,7.50,5.83,5.77,7.66,7.10,7.30,25.79,31.26,35.05,25.84,22.58,35.89,21.92,32.96,42.08,21.98,16.58,44.24
26-Jul-2010 02:00,2010,207,200,7.37,5.77,5.72,7.56,6.95,7.25,25.79,31.26,35.04,25.84,22.58,35.89,21.92,32.96,42.08,21.98,16.58,44.24
26-Jul-2010 02:30,2010,207,230,7.25,5.71,5.65,7.51,6.76,7.24,25.79,31.25,35.04,25.83,22.58,35.89,21.92,32.90,42.02,21.98,16.58,44.24
26-Jul-2010 03:00,2010,207,300,7.15,5.66,5.62,7.44,6.63,7.18,25.79,31.24,35.04,25.83,22.58,35.88,21.92,32.90,42.02,21.98,16.58,44.24
26-Jul-2010 03:30,2010,207,330,7.05,5.58,5.60,7.36,6.53,7.10,25.78,31.24,35.04,25.83,22.58,35.88,21.92,32.90,42.02,21.98,16.58,44.24
26-Jul-2010 04:00,2010,207,400,6.96,5.55,5.52,7.30,6.42,7.07,25.78,31.24,35.04,25.83,22.58,35.88,21.92,32.90,42.02,21.98,16.58,44.24
26-Jul-2010 04:30,2010,207,430,6.88,5.51,5.48,7.27,6.32,7.02,25.78,31.23,35.03,25.83,22.58,35.88,21.92,32.90,42.02,21.98,16.58,44.24
26-Jul-2010 05:00,2010,207,500,6.81,5.48,5.46,7.20,6.26,6.93,25.78,31.22,35.03,25.83,22.58,35.87,21.92,32.84,42.02,21.98,16.58,44.24
26-Jul-2010 05:30,2010,207,530,6.73,5.43,5.42,7.13,6.16,6.88,25.78,31.22,35.03,25.83,22.58,35.87,21.92,32.84,42.02,21.98,16.58,44.18
26-Jul-2010 06:00,2010,207,600,6.65,5.40,5.40,7.07,6.08,6.92,25.78,31.21,35.03,25.82,22.58,35.87,21.92,32.84,42.02,21.98,16.58,44.18
26-Jul-2010 06:30,2010,207,630,6.59,5.35,5.43,7.03,6.06,6.96,25.78,31.20,35.02,25.82,22.59,35.87,21.92,32.84,42.02,21.98,16.58,44.18
26-Jul-2010 07:00,2010,207,700,6.52,5.36,5.46,7.00,6.02,7.06,25.78,31.20,35.02,25.82,22.59,35.86,21.86,32.78,42.02,21.98,16.58,44.18
26-Jul-2010 07:30,2010,207,730,6.49,5.33,5.54,7.01,6.03,7.24,25.78,31.19,35.02,25.82,22.59,35.86,21.86,32.78,41.96,21.98,16.64,44.18
26-Jul-2010 08:00,2010,207,800,6.48,5.33,5.67,7.03,6.09,7.44,25.78,31.19,35.01,25.82,22.59,35.85,21.86,32.78,41.96,21.98,16.64,44.18
26-Jul-2010 08:30,2010,207,830,6.48,5.33,5.81,7.04,6.17,7.62,25.77,31.18,35.01,25.82,22.59,35.85,21.86,32.78,41.96,21.98,16.64,44.12
26-Jul-2010 09:00,2010,207,900,6.50,5.35,5.96,7.07,6.26,7.85,25.77,31.18,35.00,25.81,22.59,35.84,21.86,32.78,41.96,21.92,16.58,44.12
26-Jul-2010 09:30,2010,207,930,6.53,5.37,6.14,7.13,6.38,8.11,25.77,31.17,35.00,25.81,22.58,35.83,21.86,32.72,41.96,21.92,16.58,44.12
26-Jul-2010 10:00,2010,207,1000,6.59,5.41,6.35,7.19,6.53,8.41,25.76,31.16,34.99,25.81,22.58,35.82,21.86,32.72,41.90,21.92,16.58,44.06
26-Jul-2010 10:30,2010,207,1030,6.67,5.45,6.57,7.28,6.69,8.79,25.76,31.16,34.98,25.81,22.58,35.81,21.86,32.72,41.90,21.92,16.58,44.06
26-Jul-2010 11:00,2010,207,1100,6.78,5.51,6.80,7.38,6.88,9.13,25.75,31.15,34.98,25.80,22.58,35.80,21.86,32.72,41.90,21.92,16.58,44.00
26-Jul-2010 11:30,2010,207,1130,6.89,5.58,7.02,7.49,7.08,9.41,25.74,31.14,34.97,25.80,22.57,35.78,21.80,32.66,41.84,21.92,16.58,44.00
26-Jul-2010 12:00,2010,207,1200,7.01,5.64,7.25,7.62,7.28,9.69,25.73,31.12,34.96,25.79,22.57,35.73,21.80,32.66,41.84,21.92,16.58,43.82
26-Jul-2010 12:30,2010,207,1230,7.16,5.74,7.49,7.74,7.53,10.04,25.72,31.11,34.95,25.79,22.56,35.71,21.80,32.60,41.84,21.92,16.58,43.76
26-Jul-2010 13:00,2010,207,1300,7.35,5.83,7.74,7.90,7.81,10.29,25.71,31.09,34.94,25.78,22.55,35.69,21.74,32.60,41.78,21.86,16.58,43.76
26-Jul-2010 13:30,2010,207,1330,7.52,5.93,7.98,8.07,8.05,10.44,25.70,31.08,34.93,25.77,22.55,35.67,21.74,32.54,41.78,21.86,16.52,43.70
26-Jul-2010 14:00,2010,207,1400,7.69,6.02,8.19,8.22,8.30,10.60,25.68,31.07,34.92,25.77,22.54,35.66,21.74,32.54,41.72,21.86,16.52,43.64
26-Jul-2010 14:30,2010,207,1430,7.82,6.12,8.38,8.35,8.51,10.80,25.67,31.05,34.91,25.76,22.53,35.64,21.68,32.48,41.72,21.86,16.52,43.58
26-Jul-2010 15:00,2010,207,1500,8.07,6.24,8.56,8.55,8.74,10.89,25.66,31.04,34.90,25.75,22.52,35.62,21.68,32.48,41.66,21.86,16.52,43.58
26-Jul-2010 15:30,2010,207,1530,8.27,6.33,8.65,8.74,8.94,10.85,25.64,31.02,34.88,25.75,22.51,35.61,21.62,32.42,41.60,21.86,16.52,43.52
26-Jul-2010 16:00,2010,207,1600,8.44,6.44,8.72,8.84,9.13,10.80,25.63,31.00,34.86,25.74,22.50,35.59,21.62,32.36,41.60,21.80,16.46,43.46
26-Jul-2010 16:30,2010,207,1630,8.65,6.54,8.81,8.96,9.30,10.83,25.61,30.99,34.85,25.73,22.49,35.57,21.62,32.36,41.54,21.80,16.46,43.40
26-Jul-2010 17:00,2010,207,1700,8.84,6.63,8.90,9.04,9.44,10.92,25.60,30.97,34.84,25.73,22.48,35.56,21.56,32.30,41.54,21.80,16.46,43.40
26-Jul-2010 17:30,2010,207,1730,8.96,6.69,8.90,9.11,9.55,10.90,25.59,30.96,34.83,25.72,22.47,35.54,21.56,32.24,41.54,21.80,16.46,43.34
26-Jul-2010 18:00,2010,207,1800,9.02,6.73,8.85,9.15,9.60,10.88,25.57,30.94,34.83,25.71,22.46,35.53,21.50,32.24,41.48,21.74,16.40,43.28
26-Jul-2010 18:30,2010,207,1830,9.07,6.77,8.84,9.15,9.67,10.85,25.56,30.93,34.82,25.70,22.46,35.51,21.50,32.18,41.48,21.74,16.40,43.28
26-Jul-2010 19:00,2010,207,1900,9.10,6.82,8.81,9.15,9.72,10.75,25.55,30.91,34.81,25.70,22.45,35.50,21.50,32.18,41.48,21.74,16.40,43.22
26-Jul-2010 19:30,2010,207,1930,9.10,6.84,8.74,9.13,9.73,10.67,25.54,30.89,34.80,25.69,22.44,35.49,21.44,32.12,41.42,21.74,16.40,43.22
26-Jul-2010 20:00,2010,207,2000,9.10,6.86,8.65,9.11,9.71,10.60,25.54,30.88,34.80,25.68,22.44,35.48,21.44,32.12,41.42,21.74,16.40,43.16
26-Jul-2010 20:30,2010,207,2030,9.08,6.86,8.57,9.09,9.64,10.50,25.53,30.87,34.79,25.67,22.43,35.47,21.44,32.06,41.42,21.68,16.40,43.16
26-Jul-2010 21:00,2010,207,2100,9.05,6.86,8.48,9.08,9.54,10.41,25.53,30.86,34.78,25.67,22.43,35.47,21.44,32.06,41.42,21.68,16.34,43.16
26-Jul-2010 21:30,2010,207,2130,9.03,6.85,8.36,9.04,9.48,10.26,25.52,30.84,34.78,25.66,22.42,35.46,21.44,32.00,41.36,21.68,16.34,43.16
26-Jul-2010 22:00,2010,207,2200,8.99,6.84,8.21,9.00,9.38,10.09,25.52,30.82,34.78,25.66,22.42,35.46,21.44,31.94,41.36,21.68,16.34,43.16
26-Jul-2010 22:30,2010,207,2230,8.93,6.82,8.04,8.94,9.27,9.93,25.51,30.81,34.77,25.66,22.42,35.46,21.44,31.94,41.36,21.68,16.34,43.10
26-Jul-2010 23:00,2010,207,2300,8.87,6.79,7.88,8.87,9.14,9.71,25.51,30.80,34.77,25.65,22.42,35.46,21.38,31.94,41.36,21.68,16.34,43.10
26-Jul-2010 23:30,2010,207,2330,8.79,6.74,7.67,8.79,8.98,9.41,25.51,30.79,34.77,25.64,22.42,35.45,21.38,31.88,41.36,21.62,16.34,43.10
27-Jul-2010 00:00,2010,207,2400,8.68,6.69,7.43,8.69,8.79,9.13,25.50,30.78,34.76,25.64,22.41,35.45,21.38,31.88,41.36,21.62,16.34,43.10
27-Jul-2010 00:30,2010,208,30,8.55,6.64,7.22,8.59,8.59,8.93,25.50,30.78,34.76,25.64,22.42,35.45,21.38,31.88,41.30,21.62,16.34,43.10
27-Jul-2010 01:00,2010,208,100,8.43,6.59,7.04,8.50,8.39,8.76,25.50,30.77,34.76,25.63,22.41,35.45,21.38,31.88,41.30,21.62,16.34,43.10
27-Jul-2010 01:30,2010,208,130,8.31,6.52,6.88,8.41,8.20,8.59,25.50,30.76,34.76,25.63,22.41,35.45,21.38,31.82,41.30,21.62,16.34,43.10
27-Jul-2010 02:00,2010,208,200,8.18,6.45,6.72,8.31,8.01,8.41,25.50,30.75,34.75,25.62,22.41,35.45,21.38,31.82,41.30,21.62,16.34,43.10
27-Jul-2010 02:30,2010,208,230,8.05,6.38,6.58,8.22,7.81,8.23,25.50,30.75,34.75,25.62,22.41,35.45,21.38,31.82,41.30,21.62,16.34,43.10
27-Jul-2010 03:00,2010,208,300,7.93,6.31,6.44,8.13,7.63,8.08,25.50,30.74,34.75,25.62,22.41,35.45,21.38,31.82,41.30,21.62,16.34,43.10
27-Jul-2010 03:30,2010,208,330,7.81,6.25,6.31,8.04,7.46,7.90,25.50,30.74,34.75,25.62,22.42,35.45,21.38,31.76,41.30,21.62,16.34,43.10
27-Jul-2010 04:00,2010,208,400,7.69,6.18,6.17,7.95,7.28,7.74,25.50,30.73,34.75,25.61,22.42,35.45,21.38,31.76,41.30,21.62,16.34,43.10
27-Jul-2010 04:30,2010,208,430,7.56,6.13,6.04,7.87,7.11,7.61,25.50,30.73,34.75,25.61,22.42,35.45,21.38,31.76,41.30,21.62,16.34,43.10
27-Jul-2010 05:00,2010,208,500,7.44,6.06,5.96,7.77,6.96,7.57,25.50,30.72,34.75,25.61,22.42,35.45,21.38,31.76,41.30,21.56,16.34,43.10
27-Jul-2010 05:30,2010,208,530,7.32,6.02,5.91,7.70,6.79,7.62,25.50,30.72,34.74,25.61,22.42,35.45,21.38,31.76,41.30,21.56,16.34,43.10
27-Jul-2010 06:00,2010,208,600,7.24,5.96,5.95,7.65,6.70,7.71,25.50,30.72,34.74,25.61,22.42,35.44,21.38,31.76,41.30,21.56,16.34,43.10
27-Jul-2010 06:30,2010,208,630,7.17,5.92,6.01,7.61,6.66,7.82,25.50,30.71,34.74,25.61,22.42,35.44,21.38,31.70,41.30,21.56,16.34,43.10
27-Jul-2010 07:00,2010,208,700,7.12,5.90,6.10,7.58,6.65,7.94,25.50,30.71,34.74,25.61,22.42,35.44,21.38,31.70,41.30,21.56,16.34,43.04
27-Jul-2010 07:30,2010,208,730,7.09,5.89,6.18,7.57,6.67,8.02,25.49,30.71,34.73,25.60,22.43,35.43,21.38,31.70,41.24,21.56,16.34,43.04
27-Jul-2010 08:00,2010,208,800,7.06,5.88,6.27,7.56,6.71,8.17,25.49,30.70,34.73,25.60,22.43,35.43,21.38,31.70,41.24,21.56,16.34,43.04
27-Jul-2010 08:30,2010,208,830,7.03,5.87,6.37,7.57,6.76,8.35,25.49,30.70,34.73,25.60,22.43,35.42,21.38,31.70,41.24,21.56,16.34,43.04
27-Jul-2010 09:00,2010,208,900,7.02,5.89,6.44,7.60,6.83,8.82,25.49,30.69,34.72,25.60,22.42,35.42,21.38,31.70,41.24,21.56,16.34,43.04
27-Jul-2010 09:30,2010,208,930,7.02,5.91,6.55,7.67,6.91,9.28,25.48,30.68,34.72,25.60,22.42,35.41,21.38,31.64,41.24,21.56,16.34,42.98
27-Jul-2010 10:00,2010,208,1000,7.09,5.96,6.75,7.79,7.04,9.77,25.48,30.68,34.70,25.59,22.42,35.40,21.38,31.64,41.18,21.56,16.34,42.98
27-Jul-2010 10:30,2010,208,1030,7.13,5.99,6.94,7.91,7.17,9.93,25.47,30.67,34.68,25.59,22.42,35.39,21.32,31.64,41.12,21.56,16.34,42.98
27-Jul-2010 11:00,2010,208,1100,7.17,6.05,7.16,8.04,7.33,10.26,25.46,30.66,34.67,25.58,22.41,35.38,21.32,31.64,41.12,21.56,16.34,42.92
27-Jul-2010 11:30,2010,208,1130,7.38,6.14,7.51,8.23,7.58,10.63,25.45,30.66,34.66,25.58,22.41,35.36,21.32,31.58,41.06,21.50,16.34,42.86
27-Jul-2010 12:00,2010,208,1200,7.53,6.22,7.77,8.41,7.82,10.66,25.44,30.65,34.65,25.57,22.40,35.35,21.32,31.58,41.06,21.50,16.34,42.86
27-Jul-2010 12:30,2010,208,1230,7.69,6.31,7.95,8.56,8.04,10.69,25.43,30.63,34.64,25.57,22.40,35.34,21.26,31.58,41.00,21.50,16.34,42.80
